business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
auto-glass-now-ca-2,Auto Glass Now,Auto Glass and Windshield,Fresno,CA,"4645, North Blackstone Avenue, Fresno, CA, 93726",+1-559-825-6472,autoglassnow.com,"https://www.google.com/maps?q=36.802183,-119.790996","auto-glass, windshield",,OSM,node/13241142897,36.8021825,-119.790996
auto-glass-now-ca,Auto Glass Now,Auto Glass and Windshield,Sacramento,CA,"5710, Roseville Road, Sacramento, CA, 95842",+1-916-999-1718,https://www.autoglassnow.com/,"https://www.google.com/maps?q=38.669821,-121.370679","auto-glass, windshield",,OSM,node/12850763338,38.6698213,-121.370679
best-price-auto-glass-tint-ca,Best Price Auto Glass & Tint,Auto Glass and Windshield,Spring Valley,CA,"9995, Campo Road, Spring Valley, CA, 91977",+1-619-660-1041,,"https://www.google.com/maps?q=32.747665,-116.980573","auto-glass, windshield",,OSM,way/993510018,32.7476652,-116.9805731
cali-auto-glass-tint-ca,Cali Auto Glass & Tint,Auto Glass and Windshield,El Cajon,CA,"1648, Magnolia Avenue, El Cajon, CA, 92020",+1 619-710-6128,https://caliglassntint.net/,"https://www.google.com/maps?q=32.821832,-116.962823","auto-glass, windshield",,OSM,node/13206889713,32.8218324,-116.9628229
city-auto-glass-san-diego-ca,City Auto Glass San Diego,Auto Glass and Windshield,San Diego,CA,"6620, Miramar Road, San Diego, CA, 92121",+1 858-203-0865,https://sdwindshieldrepair.com/mobile-windshield-replacement-san-diego-ca/,"https://www.google.com/maps?q=32.878348,-117.172059","auto-glass, windshield",,OSM,way/781631663,32.8783482,-117.1720587
jerry-imperio-auto-glass-ca,Jerry-Imperio Auto Glass,Auto Glass and Windshield,Fresno,CA,"3929, North Blackstone Avenue, Fresno, CA, 93726",+1-559-349-5698,,"https://www.google.com/maps?q=36.789183,-119.791023","auto-glass, windshield",,OSM,node/13246538396,36.7891827,-119.7910233
priceless-auto-glass-ca,Priceless Auto Glass,Auto Glass and Windshield,Santa Rosa,CA,"1701, Santa Rosa Avenue, Santa Rosa, CA",+1-707-544-6666,,"https://www.google.com/maps?q=38.422174,-122.714223","auto-glass, windshield",,OSM,relation/9640933,38.4221736,-122.714223
rick-s-automotive-diagnostics-ca,Rick's Automotive & Diagnostics,Electrical and Diagnostics (Older Vehicle Friendly),Northridge,CA,"8802, Reseda Boulevard, Northridge, CA, 91324",+1-818-734-9005,,"https://www.google.com/maps?q=34.230925,-118.535705","electrical, diagnostics",,OSM,way/1174211788,34.2309253,-118.5357046
mobile-dent-bumper-repair-ca,Mobile Dent & Bumper Repair,Fabrication and Welding (4x4),Covina,CA,"402, East Badillo Street, Covina, CA, 91723",+1-626-479-9017,https://bodyworkcovina.com,"https://www.google.com/maps?q=34.085941,-117.883372","fabrication, welding, 4x4",,OSM,node/11142931006,34.0859411,-117.883372
santini-iron-works-ca,Santini Iron Works,Fabrication and Welding (4x4),,CA,CA,+1 310 390-4147,,"https://www.google.com/maps?q=33.984222,-118.402824","fabrication, welding, 4x4",,OSM,node/12139157748,33.9842224,-118.4028242
4-wheel-pars-fresno-ca,4 Wheel Pars Fresno,Parts Shops and 4x4 Retailers,Fresno,CA,"4326, North Blackstone Avenue, Fresno, CA, 93726",+1-559-221-0510,https://www.4wheelparts.com/articles/4wp-fresno-ca-4326-n-blackstone-ave?utm_medium=organic&utm_source=gmb,"https://www.google.com/maps?q=36.796417,-119.789717","parts, retail",,OSM,node/13246286631,36.7964171,-119.7897174
aaa-automobile-club-of-southern-california-ca,AAA Automobile Club of Southern California,Parts Shops and 4x4 Retailers,West Hollywood,CA,"8761, Santa Monica Boulevard, West Hollywood, CA, 90069",+1-800-931-0314,https://www.aaa.com/,"https://www.google.com/maps?q=34.086759,-118.381837","parts, retail",,OSM,node/5211100089,34.0867587,-118.3818371
advance-auto-parts-ca,Advance Auto Parts,Parts Shops and 4x4 Retailers,Simi Valley,CA,"660, East Los Angeles Avenue, Simi Valley, CA, 93065",+1 805-416-5331,https://stores.advanceautoparts.com/ca/simi-valley/660-e-los-angeles-ave,"https://www.google.com/maps?q=34.270440,-118.786500","parts, retail",,OSM,node/11772651328,34.27044,-118.7865
advance-auto-parts-ca-3,Advance Auto Parts,Parts Shops and 4x4 Retailers,Lake Forest,CA,"22671, Lake Forest Drive, Lake Forest, CA, 92630",+1 949-523-6176,https://stores.advanceautoparts.com/ca/lake-forest/22671-lake-forest-dr,"https://www.google.com/maps?q=33.633798,-117.712228","parts, retail",,OSM,way/1358445151,33.6337977,-117.7122284
advance-auto-parts-ca-2,Advance Auto Parts,Parts Shops and 4x4 Retailers,,CA,CA,,https://stores.advanceautoparts.com/ca/los-angeles/10644-w-pico-blvd,"https://www.google.com/maps?q=34.042504,-118.423340","parts, retail",,OSM,node/9912854543,34.0425044,-118.4233396
all-car-parts-ltd-ca,All Car Parts Ltd.,Parts Shops and 4x4 Retailers,Canoga Park,CA,"21407, Vanowen Street, Canoga Park, CA, 91303",+1-818-884-7111,https://www.allcarparts.org/,"https://www.google.com/maps?q=34.194119,-118.598189","parts, retail",,OSM,way/933354406,34.1941192,-118.5981886
america-s-tire-ca,America’s Tire,Parts Shops and 4x4 Retailers,Pasadena,CA,"1917, East Colorado Boulevard, Pasadena, CA, 91107",+1 626-584-6770,https://www.americastire.com/store/in/store/s/1047,"https://www.google.com/maps?q=34.146323,-118.111025","parts, retail",,OSM,node/5198385621,34.146323,-118.1110251
araparts-ca,Araparts,Parts Shops and 4x4 Retailers,Elk Grove,CA,"9090, Union Park Way, Elk Grove, CA, 95624",,https://www.araparts.com/,"https://www.google.com/maps?q=38.385981,-121.362506","parts, retail",,OSM,node/10213297839,38.3859808,-121.3625061
auto-parts-4ever-ca,Auto Parts 4ever,Parts Shops and 4x4 Retailers,,CA,"11719, Saticoy Street, CA",+1 818-927-4301,,"https://www.google.com/maps?q=34.208705,-118.388275","parts, retail",,OSM,node/11753863045,34.2087048,-118.3882752
autozone-ca-13,AutoZone,Parts Shops and 4x4 Retailers,Yorba Linda,CA,"18528, Yorba Linda Boulevard, Yorba Linda, CA, 92886",+1-714-970-8933,https://www.autozone.com/locations/ca/yorba-linda/18528-yorba-linda.html,"https://www.google.com/maps?q=33.888019,-117.810465","parts, retail",,OSM,node/7523617717,33.888019,-117.8104647
