business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
auto-glass-now-ca-2,Auto Glass Now,Auto Glass and Windshield,Fresno,CA,"4645, North Blackstone Avenue, Fresno, CA, 93726",+1-559-825-6472,autoglassnow.com,"https://www.google.com/maps?q=36.802183,-119.790996","auto-glass, windshield",,OSM,node/13241142897,36.8021825,-119.790996
auto-glass-now-ca,Auto Glass Now,Auto Glass and Windshield,Sacramento,CA,"5710, Roseville Road, Sacramento, CA, 95842",+1-916-999-1718,https://www.autoglassnow.com/,"https://www.google.com/maps?q=38.669821,-121.370679","auto-glass, windshield",,OSM,node/12850763338,38.6698213,-121.370679
best-price-auto-glass-tint-ca,Best Price Auto Glass & Tint,Auto Glass and Windshield,Spring Valley,CA,"9995, Campo Road, Spring Valley, CA, 91977",+1-619-660-1041,,"https://www.google.com/maps?q=32.747665,-116.980573","auto-glass, windshield",,OSM,way/993510018,32.7476652,-116.9805731
cali-auto-glass-tint-ca,Cali Auto Glass & Tint,Auto Glass and Windshield,El Cajon,CA,"1648, Magnolia Avenue, El Cajon, CA, 92020",+1 619-710-6128,https://caliglassntint.net/,"https://www.google.com/maps?q=32.821832,-116.962823","auto-glass, windshield",,OSM,node/13206889713,32.8218324,-116.9628229
city-auto-glass-san-diego-ca,City Auto Glass San Diego,Auto Glass and Windshield,San Diego,CA,"6620, Miramar Road, San Diego, CA, 92121",+1 858-203-0865,https://sdwindshieldrepair.com/mobile-windshield-replacement-san-diego-ca/,"https://www.google.com/maps?q=32.878348,-117.172059","auto-glass, windshield",,OSM,way/781631663,32.8783482,-117.1720587
jerry-imperio-auto-glass-ca,Jerry-Imperio Auto Glass,Auto Glass and Windshield,Fresno,CA,"3929, North Blackstone Avenue, Fresno, CA, 93726",+1-559-349-5698,,"https://www.google.com/maps?q=36.789183,-119.791023","auto-glass, windshield",,OSM,node/13246538396,36.7891827,-119.7910233
priceless-auto-glass-ca,Priceless Auto Glass,Auto Glass and Windshield,Santa Rosa,CA,"1701, Santa Rosa Avenue, Santa Rosa, CA",+1-707-544-6666,,"https://www.google.com/maps?q=38.422174,-122.714223","auto-glass, windshield",,OSM,relation/9640933,38.4221736,-122.714223
cornerstone-auto-glass-new-tampa-fl,Cornerstone Auto Glass New Tampa,Auto Glass and Windshield,Tampa,FL,"19456, Paddock View Drive, Tampa, FL, 33647",+1-727-809-0699,https://cornerstoneglassrepair.com,"https://www.google.com/maps?q=28.166646,-82.297013","auto-glass, windshield",,OSM,node/6390284293,28.1666458,-82.2970127
florida-prime-glass-fl,Florida Prime Glass,Auto Glass and Windshield,,FL,FL,+1 855-377-4634,https://www.floridaprimeglass.com/,"https://www.google.com/maps?q=26.370393,-80.125805","auto-glass, windshield",,OSM,node/13091351266,26.370393,-80.1258054
homestead-glass-co-fl,Homestead Glass Co,Auto Glass and Windshield,Homestead,FL,"515, N Krome Ave, Homestead, FL, 33030",+1 305-247-5025,https://homesteadglass.com,"https://www.google.com/maps?q=25.474626,-80.477260","auto-glass, windshield",,OSM,node/9791865199,25.4746263,-80.4772598
mike-s-auto-glass-express-fl,Mike's Auto Glass Express,Auto Glass and Windshield,Tampa,FL,"8512, North Florida Avenue, Tampa, FL, 33604",+1-813-833-2973,https://www.nationsautoglass.com,"https://www.google.com/maps?q=28.027725,-82.459926","auto-glass, windshield",,OSM,node/12313719390,28.0277249,-82.4599258
mike-s-auto-glass-tampa-fl,Mike's Auto Glass Tampa,Auto Glass and Windshield,Tampa,FL,"4901, North Armenia Avenue, Tampa, FL, 33603",+1-813-876-4115,,"https://www.google.com/maps?q=27.990814,-82.484117","auto-glass, windshield",,OSM,node/12313856981,27.9908142,-82.4841175
