business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
1-way-auto-clinic-ca,1 Way Auto Clinic,Repair Shops (XJ/Jeep-Friendly),,CA,"4303, Genesee Avenue, CA, 92117",+1-619-297-0189,,"https://www.google.com/maps?q=32.821804,-117.182636","repair, mechanic",,OSM,node/13483249101,32.8218045,-117.1826359
10-minute-lube-n-oil-ca,10 Minute Lube 'N Oil,Repair Shops (XJ/Jeep-Friendly),Turlock,CA,"437, North Golden State Boulevard, Turlock, CA, 95380",+1 209 632 0188,,"https://www.google.com/maps?q=37.497478,-120.848560","repair, mechanic",,OSM,way/1286506095,37.4974781,-120.8485599
110-auto-care-ca,110 Auto Care,Repair Shops (XJ/Jeep-Friendly),San Pedro,CA,"1406, South Pacific Avenue, San Pedro, CA, 90731-4720",+1-562-249-7110,https://110-auto-care.hub.biz,"https://www.google.com/maps?q=33.731339,-118.287801","repair, mechanic",,OSM,node/9658289282,33.7313387,-118.287801
1st-class-auto-repair-ca,1st Class Auto Repair,Repair Shops (XJ/Jeep-Friendly),Madera,CA,"200, North Gateway Drive, Madera, CA",+1-559-662-1417,,"https://www.google.com/maps?q=36.961998,-120.062057","repair, mechanic",,OSM,node/12047552955,36.9619975,-120.0620566
2-guys-auto-detailing-ca,2 Guys Auto Detailing,Repair Shops (XJ/Jeep-Friendly),Turlock,CA,"1649, Carnegie Street, Turlock, CA, 95380",+1-209-632-3800,https://2-guys-auto-detailing.ueniweb.com/,"https://www.google.com/maps?q=37.507786,-120.867035","repair, mechanic",,OSM,node/13403172920,37.5077864,-120.8670349
7-dias-tire-ca,7 Dias Tire,Repair Shops (XJ/Jeep-Friendly),,CA,"1305, S. Western Ave, CA",+1 323-732-1235,,"https://www.google.com/maps?q=34.046607,-118.309416","repair, mechanic",,OSM,node/11218250012,34.0466066,-118.3094165
707-livewire-customs-ca,707 Livewire Customs,Repair Shops (XJ/Jeep-Friendly),,CA,"1309, West Texas Street, CA, 94533",+1-707-389-4969,https://707livewirecustoms.com,"https://www.google.com/maps?q=38.249072,-122.050532","repair, mechanic",,OSM,node/12106570901,38.2490718,-122.0505323
a-e-auto-repair-ca,A & E Auto Repair,Repair Shops (XJ/Jeep-Friendly),Corona,CA,"1101, East 6th Street, Corona, CA, 92879",+1-951-371-8201,,"https://www.google.com/maps?q=33.874782,-117.552202","repair, mechanic",,OSM,way/1461693010,33.8747817,-117.5522017
a-h-auto-ca,A & H Auto,Repair Shops (XJ/Jeep-Friendly),Fresno,CA,"4051, North Valentine Avenue, Fresno, CA, 93722",+1 559-903-4238,,"https://www.google.com/maps?q=36.795752,-119.854469","repair, mechanic",,OSM,node/13116766362,36.795752,-119.8544687
a-r-auto-services-ca,A & R Auto Services,Repair Shops (XJ/Jeep-Friendly),San Pedro,CA,"214, West 9th Street, San Pedro, CA, 90731",+1-310-831-1270,,"https://www.google.com/maps?q=33.736193,-118.281767","repair, mechanic",,OSM,way/1055279835,33.7361934,-118.2817666
