business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
a1-towing-ca,A1 Towing,Salvage Yards and Junkyards (Used Jeep Parts),,CA,CA,+1 916 395 8600,,"https://www.google.com/maps?q=38.388706,-121.362105","salvage, junkyard, used-parts",,OSM,node/10198542132,38.3887063,-121.3621052
american-auto-wreckers-ca,American Auto Wreckers,Salvage Yards and Junkyards (Used Jeep Parts),,CA,CA,,,"https://www.google.com/maps?q=38.513114,-121.437562","salvage, junkyard, used-parts",,OSM,node/5819831326,38.5131136,-121.4375621
copart-ca,Copart,Salvage Yards and Junkyards (Used Jeep Parts),Antelope,CA,"8650, Antelope North Road, Antelope, CA",,,"https://www.google.com/maps?q=38.720437,-121.323026","salvage, junkyard, used-parts",,OSM,way/1449464115,38.7204374,-121.3230258
copart-rancho-cucamonga-ca,Copart - Rancho Cucamonga,Salvage Yards and Junkyards (Used Jeep Parts),Rancho Cucamonga,CA,"12167, Arrow Route, Rancho Cucamonga, CA, 91739",,https://www.copart.com/locations/rancho-cucamonga-ca-97,"https://www.google.com/maps?q=34.095720,-117.539172","salvage, junkyard, used-parts",,OSM,way/445387146,34.09572,-117.5391724
del-paso-auto-dismantlers-ca,Del Paso Auto Dismantlers,Salvage Yards and Junkyards (Used Jeep Parts),Sacramento,CA,"1101, Del Paso Boulevard, Sacramento, CA, 95815",+1-916-925-2736,https://delpasoautodismantlers.com,"https://www.google.com/maps?q=38.603764,-121.464646","salvage, junkyard, used-parts",,OSM,way/1133535715,38.6037637,-121.4646455
e-world-recyclers-llc-ca,"E World Recyclers, LLC",Salvage Yards and Junkyards (Used Jeep Parts),Vista,CA,"1390, Engineer Street, Vista, CA, 92081",,,"https://www.google.com/maps?q=33.147996,-117.235162","salvage, junkyard, used-parts",,OSM,way/770901391,33.1479957,-117.2351623
eco-recycling-ca,Eco Recycling,Salvage Yards and Junkyards (Used Jeep Parts),Tijuana,CA,"3674, Boulevard Cucapah, Tijuana, CA, 22203",,,"https://www.google.com/maps?q=32.515835,-116.885549","salvage, junkyard, used-parts",,OSM,way/655737514,32.5158354,-116.8855492
ipull-upull-auto-parts-ca,iPull-uPull Auto Parts,Salvage Yards and Junkyards (Used Jeep Parts),,CA,CA,,,"https://www.google.com/maps?q=38.481480,-121.422900","salvage, junkyard, used-parts",,OSM,node/13332943673,38.4814802,-121.4229005
lkq-pick-your-part-anaheim-ca,LKQ - Pick Your Part - Anaheim,Salvage Yards and Junkyards (Used Jeep Parts),Anaheim,CA,"1235, South Beach Boulevard, Anaheim, CA, 92804",,,"https://www.google.com/maps?q=33.815537,-117.994815","salvage, junkyard, used-parts",,OSM,node/5274297968,33.8155368,-117.9948149
pacific-coast-recycling-ca,Pacific Coast Recycling,Salvage Yards and Junkyards (Used Jeep Parts),Dos Palos,CA,"2857, Almond Street, Dos Palos, CA, 93620",,,"https://www.google.com/maps?q=36.984122,-120.641068","salvage, junkyard, used-parts",,OSM,way/1017004466,36.9841221,-120.6410677
