business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
al-s-towing-ca,Al's Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"6180, South Saint Andrews Place, Los Angeles, CA, 90047",+1 323-430-8128,,"https://www.google.com/maps?q=33.983650,-118.310790","towing, recovery",,OSM,way/412177072,33.9836501,-118.31079
all-city-tow-service-ca,All City Tow Service,Towing and Recovery (4x4 capable),Culver City,CA,"5832, Adams Boulevard, Culver City, CA, 90232",+1 323-934-0404,https://www.allcitytowservices.com/,"https://www.google.com/maps?q=34.032261,-118.371204","towing, recovery",,OSM,way/429377682,34.032261,-118.3712042
auto-way-towing-service-ca,Auto Way Towing Service,Towing and Recovery (4x4 capable),Los Angeles,CA,"2860, East Pico Boulevard, Los Angeles, CA, 90023",+1-323-432-8939,https://autowaytowingservice.com/,"https://www.google.com/maps?q=34.019440,-118.218084","towing, recovery",,OSM,node/12832762440,34.0194396,-118.2180843
best-one-towing-ca,Best One Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"217, South Lorena Street, Los Angeles, CA, 90063",+1-323-891-1380,,"https://www.google.com/maps?q=34.035119,-118.196568","towing, recovery",,OSM,node/12832762439,34.0351185,-118.1965684
bp-towing-ca,BP Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"6043, South Western Avenue, Los Angeles, CA, 90047",+1 310-327-8783,https://bptowing.com/,"https://www.google.com/maps?q=33.985111,-118.309413","towing, recovery",,OSM,way/412176912,33.9851111,-118.3094127
brian-s-toledo-towing-ca,Brian's Toledo Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"2170, East 11th Street, Los Angeles, CA, 90021",+1-213-955-5767,https://www.brianstoledotowingservice.com/,"https://www.google.com/maps?q=34.024211,-118.234186","towing, recovery",,OSM,way/1386017770,34.0242114,-118.2341861
city-terrace-towing-east-la-ca,City Terrace Towing East LA,Towing and Recovery (4x4 capable),Los Angeles,CA,"4167, Whiteside Street, Los Angeles, CA, 90063",+1-323-262-8059,https://www.cityterracetowing.com/,"https://www.google.com/maps?q=34.060555,-118.177291","towing, recovery",,OSM,way/427275942,34.0605547,-118.1772915
city-terrace-towing-los-angeles-ca,City Terrace Towing Los Angeles,Towing and Recovery (4x4 capable),Los Angeles,CA,"1770, Workman Street, Los Angeles, CA, 90031",+1-323-262-8052,https://www.cityterracetowing.com/,"https://www.google.com/maps?q=34.063225,-118.213725","towing, recovery",,OSM,way/429158921,34.063225,-118.213725
emergency-west-hollywood-towing-ca,Emergency West Hollywood Towing,Towing and Recovery (4x4 capable),West Hollywood,CA,"1246, North Formosa Avenue, West Hollywood, CA, 90046",+1 213-449-1300,,"https://www.google.com/maps?q=34.093944,-118.346084","towing, recovery",,OSM,node/12839147329,34.0939443,-118.3460836
emmett-s-tow-truck-and-roadside-service-ca,Emmett's Tow Truck and Roadside Service,Towing and Recovery (4x4 capable),Los Angeles,CA,"650, Robinson Street, Los Angeles, CA, 90026",,https://www.emttowtruck.com/,"https://www.google.com/maps?q=34.080047,-118.279051","towing, recovery",,OSM,node/12832762445,34.0800467,-118.2790514
fast-way-towing-inc-ca,"Fast Way Towing, Inc.",Towing and Recovery (4x4 capable),Los Angeles,CA,"8552, Venice Boulevard, Los Angeles, CA, 90034",+1 310-559-7811,,"https://www.google.com/maps?q=34.034064,-118.379419","towing, recovery",,OSM,way/429382698,34.0340645,-118.3794195
huero-s-towing-ca,Huero's Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"4743, East Olympic Boulevard, Los Angeles, CA, 90022",+1-323-972-3779,https://huerotowing.com/,"https://www.google.com/maps?q=34.018247,-118.166621","towing, recovery",,OSM,way/440340488,34.0182471,-118.1666211
jb-s-towing-transport-ca,JB's Towing & Transport,Towing and Recovery (4x4 capable),Los Angeles,CA,"3574, South Western Avenue, Los Angeles, CA, 90018",+1 310-435-7124,https://losangeles-towingservices.com/,"https://www.google.com/maps?q=34.023038,-118.308475","towing, recovery",,OSM,way/407080163,34.0230375,-118.3084754
jd-club-service-towing-inc-ca,"JD Club Service & Towing, Inc.",Towing and Recovery (4x4 capable),Los Angeles,CA,"1701, South Hoover Street, Los Angeles, CA, 90006",+1-310-273-6193,,"https://www.google.com/maps?q=34.042710,-118.284401","towing, recovery",,OSM,way/427287839,34.04271,-118.2844012
metro-towing-inc-ca,"Metro Towing, Inc.",Towing and Recovery (4x4 capable),Los Angeles,CA,"1720, Workman Street, Los Angeles, CA, 90033",+1-323-342-0602,https://www.metrotowinginc.com/,"https://www.google.com/maps?q=34.061852,-118.213916","towing, recovery",,OSM,way/429159274,34.0618519,-118.2139162
nathan-s-towing-ca,Nathan's Towing,Towing and Recovery (4x4 capable),Inglewood,CA,"712, West Florence Avenue, Inglewood, CA, 90301",+1 424-269-8645,,"https://www.google.com/maps?q=33.963535,-118.369028","towing, recovery",,OSM,way/420317843,33.9635353,-118.369028
new-city-towing-ca,New City Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"4411, West 3rd Street, Los Angeles, CA, 90020",+1 310-916-8278,https://www.newcitytowingco.com/,"https://www.google.com/maps?q=34.069202,-118.310603","towing, recovery",,OSM,node/12839147313,34.0692016,-118.310603
pepe-s-towing-service-ca,Pepe's Towing Service,Towing and Recovery (4x4 capable),Los Angeles,CA,"918, South Boyle Avenue, Los Angeles, CA, 90023",+1-323-268-1609,https://pepestowla.com/,"https://www.google.com/maps?q=34.035068,-118.218833","towing, recovery",,OSM,way/428822602,34.0350681,-118.2188332
poblanos-towing-ca,Poblanos Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"634, East 35th Street, Los Angeles, CA, 90011",+1 323-375-1694,https://towingserviceinlosangelesca.com/,"https://www.google.com/maps?q=34.014212,-118.263960","towing, recovery",,OSM,node/12839147306,34.0142117,-118.2639598
primary-towing-los-angeles-ca,Primary Towing Los Angeles,Towing and Recovery (4x4 capable),Los Angeles,CA,"5776, Venice Boulevard, Los Angeles, CA, 90019",+1 310-492-5075,https://www.primarytowing-losangeles.com/,"https://www.google.com/maps?q=34.042092,-118.365182","towing, recovery",,OSM,node/12839147314,34.0420918,-118.3651822
quick-silver-towing-inc-ca,"Quick Silver Towing, Inc.",Towing and Recovery (4x4 capable),Los Angeles,CA,"1981, Cotner Avenue, Los Angeles, CA, 90025",+1-310-478-1201,http://www.quicksilvertow.com/,"https://www.google.com/maps?q=34.042409,-118.442202","towing, recovery",,OSM,way/1386913980,34.0424091,-118.4422024
swanney-mcdonald-towing-ca,Swanney & McDonald Towing,Towing and Recovery (4x4 capable),Los Angeles,CA,"4833, Exposition Boulevard, Los Angeles, CA, 90016",+1 323-733-6898,https://swanneymcdonald.com/,"https://www.google.com/maps?q=34.024660,-118.349675","towing, recovery",,OSM,way/428536933,34.0246603,-118.3496747
