business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
auto-glass-express-az,Auto Glass Express,Auto Glass and Windshield,Peoria,AZ,"6720, North 67th Avenue, Peoria, AZ, 85345",+1-480-500-9000,https://autoglassexpress.com/,"https://www.google.com/maps?q=33.584150,-112.203305","auto-glass, windshield",,OSM,way/399577413,33.5841502,-112.2033055
autosilo-windshield-replacement-az,AutoSilo Windshield Replacement,Auto Glass and Windshield,Phoenix,AZ,"2724, West McLellan Boulevard, Phoenix, AZ, 85017",+1-602-698-9513,https://mesawindshields.com/,"https://www.google.com/maps?q=33.533227,-112.117733","auto-glass, windshield",,OSM,node/11875716891,33.5332272,-112.1177328
o-brien-auto-glass-llc-az,O'Brien Auto Glass LLC,Auto Glass and Windshield,,AZ,AZ,+1 928-607-4733;+1 928-774-7133,https://www.obrienautoglass.com/,"https://www.google.com/maps?q=35.248929,-112.185302","auto-glass, windshield",,OSM,node/12236066113,35.2489288,-112.1853022
rw-auto-glass-az,RW Auto Glass,Auto Glass and Windshield,San Tan Valley,AZ,"3663, East Shapinsay Drive, San Tan Valley, AZ, 85140",+1-623-533-0286,https://www.rwautoglass.com,"https://www.google.com/maps?q=33.242788,-111.526301","auto-glass, windshield",,OSM,node/10670781188,33.2427878,-111.5263009
safepro-auto-glass-az,SafePro Auto Glass,Auto Glass and Windshield,Black Canyon City,AZ,"34501, South Old Black Canyon Highway, Black Canyon City, AZ, 85324",+1-623-374-9876,,"https://www.google.com/maps?q=34.066114,-112.149545","auto-glass, windshield",,OSM,way/529848651,34.0661143,-112.1495447
samson-body-shop-service-center-auto-glass-towing-and-rv-service-az,Samson Body Shop Service Center Auto Glass Towing and RV Service,Auto Glass and Windshield,,AZ,"1800, Diamondback Drive, AZ, 86025",,samsonbodyshop.com,"https://www.google.com/maps?q=34.921608,-110.154453","auto-glass, windshield",,OSM,node/2702713073,34.9216085,-110.1544529
storm-auto-glass-az,Storm Auto Glass,Auto Glass and Windshield,Flagstaff,AZ,"800, West Historic Route 66, Flagstaff, AZ, 86001",+1-928-814-9391,stormautoglass.com,"https://www.google.com/maps?q=35.193747,-111.660186","auto-glass, windshield",,OSM,node/5785428750,35.1937474,-111.6601864
diesel-diagnostics-az,Diesel Diagnostics,Electrical and Diagnostics (Older Vehicle Friendly),Apache Junction,AZ,"1678, West Superstition Boulevard, Apache Junction, AZ, 85120",+1 480 201 9661,,"https://www.google.com/maps?q=33.422647,-111.564856","electrical, diagnostics",,OSM,node/6357162780,33.4226472,-111.5648559
arizona-frame-and-fabrication-az,Arizona Frame and Fabrication,Fabrication and Welding (4x4),Apache Junction,AZ,"3701, South Meridian Drive, Apache Junction, AZ, 85120",+1 480 835 0753,,"https://www.google.com/maps?q=33.381243,-111.580380","fabrication, welding, 4x4",,OSM,way/163407342,33.3812434,-111.5803799
southern-az-steel-supply-az,Southern AZ Steel & Supply,Fabrication and Welding (4x4),Willcox,AZ,"620, North Haskell Avenue, Willcox, AZ, 85643",+1 520 766 2869,https://sazsteel.com/,"https://www.google.com/maps?q=32.259465,-109.828161","fabrication, welding, 4x4",,OSM,way/341359596,32.2594653,-109.8281612
warren-s-welding-az,Warren’s Welding,Fabrication and Welding (4x4),Casa Grande,AZ,"7765, West Battaglia Drive, Casa Grande, AZ, 85193",+1-520-450-6499,,"https://www.google.com/maps?q=32.762366,-111.651509","fabrication, welding, 4x4",,OSM,node/12478768158,32.7623657,-111.6515094
