business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
anders-auto-glass-co,Anders Auto Glass,Auto Glass and Windshield,Fort Collins,CO,"7795, Southwest Frontage Road, Fort Collins, CO, 80528",+1-970-689-3763,http://www.andersautoglass.com/,"https://www.google.com/maps?q=40.477593,-104.993178","auto-glass, windshield",,OSM,way/361342983,40.4775925,-104.9931778
auto-glass-unlimited-co,Auto Glass Unlimited,Auto Glass and Windshield,Lakewood,CO,"11614, West Belleview Avenue, Lakewood, CO, 80127",+1-303-862-4433,http://www.windshieldsfast.com/,"https://www.google.com/maps?q=39.623782,-105.129951","auto-glass, windshield",,OSM,node/5638723335,39.6237818,-105.129951
auto-glass-usa-co,Auto Glass USA,Auto Glass and Windshield,Englewood,CO,"150, West Belleview Avenue, Englewood, CO, 80110",+1-303-831-1111,http://www.autoglass-usa.com,"https://www.google.com/maps?q=39.623776,-104.989243","auto-glass, windshield",,OSM,node/5905703292,39.6237755,-104.9892427
br-auto-glass-co,BR Auto Glass,Auto Glass and Windshield,Englewood,CO,"2842, South Broadway, Englewood, CO, 80113",+1-303-777-2573,http://brautoglassco.com/,"https://www.google.com/maps?q=39.665034,-104.987197","auto-glass, windshield",,OSM,way/49946816,39.6650338,-104.9871967
carefree-windshield-repair-co,Carefree Windshield Repair,Auto Glass and Windshield,,CO,"1501, South Tejon Street, CO, 80905",+1-719-339-4812,https://carefreewindshieldrepair.com/,"https://www.google.com/maps?q=38.812116,-104.824386","auto-glass, windshield",,OSM,node/13541554901,38.8121158,-104.8243864
friendly-auto-glass-and-repair-co,Friendly Auto Glass and Repair,Auto Glass and Windshield,Commerce City,CO,"7350, State Highway 2, Commerce City, CO, 80022",+1 303 287 9954,,"https://www.google.com/maps?q=39.830010,-104.911554","auto-glass, windshield",,OSM,way/263590986,39.83001,-104.9115536
latino-s-auto-glass-co,Latino's Auto Glass,Auto Glass and Windshield,Denver,CO,"280, Federal Boulevard, Denver, CO, 80219-1535",+1-303-935-6658,http://www.latinosautoglass.com/,"https://www.google.com/maps?q=39.721030,-105.024835","auto-glass, windshield",,OSM,way/386557023,39.7210295,-105.0248354
slp-auto-glass-co,SLP Auto Glass,Auto Glass and Windshield,Lakewood,CO,"5700, West Alameda Avenue, Lakewood, CO, 80226",+1-303-936-6666,https://slpautoglass.com,"https://www.google.com/maps?q=39.710695,-105.059613","auto-glass, windshield",,OSM,way/1382569656,39.710695,-105.059613
ultra-bond-co,Ultra Bond,Auto Glass and Windshield,Grand Junction,CO,"2458, I 70 Business Loop, Grand Junction, CO, 81501",+1-970-256-0200,https://www.ultrabond.com/,"https://www.google.com/maps?q=39.069501,-108.536110","auto-glass, windshield",,OSM,node/12887457648,39.0695013,-108.5361099
american-differential-and-drive-train-co,American Differential and Drive Train,"Drivetrain Specialists (Axles, Gears, Driveshafts)",Commerce City,CO,"7270, Locust Street, Commerce City, CO, 80022",+1 303 227 0121,,"https://www.google.com/maps?q=39.828638,-104.912996","drivetrain, axle, gears",,OSM,way/263590955,39.8286384,-104.9129962
