business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
cornerstone-auto-glass-new-tampa-fl,Cornerstone Auto Glass New Tampa,Auto Glass and Windshield,Tampa,FL,"19456, Paddock View Drive, Tampa, FL, 33647",+1-727-809-0699,https://cornerstoneglassrepair.com,"https://www.google.com/maps?q=28.166646,-82.297013","auto-glass, windshield",,OSM,node/6390284293,28.1666458,-82.2970127
florida-prime-glass-fl,Florida Prime Glass,Auto Glass and Windshield,,FL,FL,+1 855-377-4634,https://www.floridaprimeglass.com/,"https://www.google.com/maps?q=26.370393,-80.125805","auto-glass, windshield",,OSM,node/13091351266,26.370393,-80.1258054
homestead-glass-co-fl,Homestead Glass Co,Auto Glass and Windshield,Homestead,FL,"515, N Krome Ave, Homestead, FL, 33030",+1 305-247-5025,https://homesteadglass.com,"https://www.google.com/maps?q=25.474626,-80.477260","auto-glass, windshield",,OSM,node/9791865199,25.4746263,-80.4772598
mike-s-auto-glass-express-fl,Mike's Auto Glass Express,Auto Glass and Windshield,Tampa,FL,"8512, North Florida Avenue, Tampa, FL, 33604",+1-813-833-2973,https://www.nationsautoglass.com,"https://www.google.com/maps?q=28.027725,-82.459926","auto-glass, windshield",,OSM,node/12313719390,28.0277249,-82.4599258
mike-s-auto-glass-tampa-fl,Mike's Auto Glass Tampa,Auto Glass and Windshield,Tampa,FL,"4901, North Armenia Avenue, Tampa, FL, 33603",+1-813-876-4115,,"https://www.google.com/maps?q=27.990814,-82.484117","auto-glass, windshield",,OSM,node/12313856981,27.9908142,-82.4841175
lizotte-s-welding-fl,Lizotte's Welding,Fabrication and Welding (4x4),,FL,"3303, Tyrone Boulevard North, FL",+1-727-343-7690,http://www.lizottewelding.net/,"https://www.google.com/maps?q=27.802256,-82.741798","fabrication, welding, 4x4",,OSM,way/228264526,27.8022565,-82.7417976
aaa-million-auto-parts-fl,AAA Million Auto Parts,Parts Shops and 4x4 Retailers,Miami,FL,"311, Southwest 22nd Avenue, Miami, FL, 33135",,https://www.aaamillion.com/,"https://www.google.com/maps?q=25.769395,-80.230461","parts, retail",,OSM,way/435739811,25.7693947,-80.2304611
advance-auto-parts-fl-7,Advance Auto Parts,Parts Shops and 4x4 Retailers,Margate,FL,"7912, West Sample Road, Margate, FL, 33065",+1 954-752-4702,https://stores.advanceautoparts.com/fl/margate/7912-w-sample-rd,"https://www.google.com/maps?q=26.271731,-80.231542","parts, retail",,OSM,node/4741640771,26.2717306,-80.2315416
advance-auto-parts-fl-8,Advance Auto Parts,Parts Shops and 4x4 Retailers,Pembroke Park,FL,"3000, West Hallandale Bouleva, Pembroke Park, FL, 33009",+1-954-455-0042,https://stores.advanceautoparts.com/fl/pembroke-park/3000-west-hallandale-boulevard,"https://www.google.com/maps?q=25.984337,-80.166355","parts, retail",,OSM,node/5700682171,25.9843372,-80.1663553
advance-auto-parts-fl-3,Advance Auto Parts,Parts Shops and 4x4 Retailers,Boca Raton,FL,"21775, State Road 7, Boca Raton, FL, 33428",+1 561-487-5309,https://stores.advanceautoparts.com/fl/boca-raton/21775-state-road-7,"https://www.google.com/maps?q=26.352210,-80.203953","parts, retail",,OSM,node/12623342388,26.3522095,-80.203953
