business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
amazing-auto-glass-ga,Amazing Auto Glass,Auto Glass and Windshield,,GA,"7531, APD Highway, GA, 30513",+1-706-463-0550,https://www.amazingauto.glass/,"https://www.google.com/maps?q=34.894358,-84.271103","auto-glass, windshield",,OSM,node/12947420201,34.8943582,-84.2711026
auto-glass-atlanta-llc-ga,Auto Glass Atlanta LLC,Auto Glass and Windshield,Atlanta,GA,"3535, Peachtree Road Northeast, Atlanta, GA, 30326",+1 678-809-3466,,"https://www.google.com/maps?q=33.851565,-84.358809","auto-glass, windshield",,OSM,node/12603693716,33.8515651,-84.3588093
buford-auto-glass-network-ga,Buford Auto Glass Network,Auto Glass and Windshield,Buford,GA,"2354, Royal Pembroke Lane, Buford, GA, 30518",+1-770-766-5565,https://www.bufordautoglassnetwork.net/,"https://www.google.com/maps?q=34.116580,-83.992602","auto-glass, windshield",,OSM,node/5374359404,34.1165803,-83.9926021
empire-auto-glass-ga,Empire Auto Glass,Auto Glass and Windshield,Roswell,GA,"11235, Alpharetta Highway, Roswell, GA, 30076",+1-770-727-0997,https://www.empireautoglassatlanta.com/,"https://www.google.com/maps?q=34.054419,-84.328473","auto-glass, windshield",,OSM,node/13410808751,34.054419,-84.3284727
superglass-windshield-repair-ga,Superglass Windshield Repair,Auto Glass and Windshield,Columbus,GA,"4490, River Rd, Columbus, GA, 31904",+1-706-660-0360,https://superglass.com/,"https://www.google.com/maps?q=32.506876,-84.981443","auto-glass, windshield",,OSM,way/958416499,32.5068757,-84.9814431
get-it-in-gear-ga,Get It In Gear,"Drivetrain Specialists (Axles, Gears, Driveshafts)",Fort Oglethorpe,GA,"2224, Lafayette Road, Fort Oglethorpe, GA, 30742-3753",+1 706 419 8841,https://www.getitingeartransmission.com/,"https://www.google.com/maps?q=34.957169,-85.259023","drivetrain, axle, gears",,OSM,way/988905379,34.957169,-85.2590235
premier-automotive-diagnostics-ga,Premier Automotive Diagnostics,Electrical and Diagnostics (Older Vehicle Friendly),Cumming,GA,"329, Canton Road, Cumming, GA, 30040",+1-470-695-7055,https://www.padiagnostics.com/,"https://www.google.com/maps?q=34.221593,-84.153392","electrical, diagnostics",,OSM,node/9690161844,34.2215932,-84.1533916
ez-auto-spa-ga,EZ Auto Spa,Fabrication and Welding (4x4),Duluth,GA,"3492, Satellite Boulevard, Duluth, GA, 30096",+1-762-227-1677,https://ezautospa.com/locations/ez-auto-duluth/,"https://www.google.com/maps?q=33.962214,-84.131651","fabrication, welding, 4x4",,OSM,node/11818014389,33.9622141,-84.1316512
advance-auto-parts-ga-55,Advance Auto Parts,Parts Shops and 4x4 Retailers,Norcross,GA,"Norcross, GA, 30092",+1-770-840-7224,https://stores.advanceautoparts.com/ga/norcross/3730-holcomb-bridge-rd,"https://www.google.com/maps?q=33.961376,-84.248852","parts, retail",,OSM,node/2707134609,33.9613761,-84.2488516
advance-auto-parts-ga-56,Advance Auto Parts,Parts Shops and 4x4 Retailers,Powder Springs,GA,"5155, Dallas Highway, Powder Springs, GA, 30127",+1-770-528-9985,https://stores.advanceautoparts.com/ga/powder-springs/5155-dallas-hwy,"https://www.google.com/maps?q=33.939881,-84.703262","parts, retail",,OSM,node/2906628299,33.9398811,-84.7032621
