business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
advanced-auto-glass-nc,Advanced Auto Glass,Auto Glass and Windshield,Raeford,NC,"1576, Turnpike Road, Raeford, NC, 28376",+19108750055,,"https://www.google.com/maps?q=34.989289,-79.252779","auto-glass, windshield",,OSM,way/1074586101,34.989289,-79.2527785
bill-s-auto-glass-of-marion-inc-nc,"Bill's Auto Glass of Marion, Inc.",Auto Glass and Windshield,Marion,NC,"41, US-221 Business, Marion, NC, 28752",+1-828-652-5555,,"https://www.google.com/maps?q=35.713287,-82.037228","auto-glass, windshield",,OSM,node/7243491220,35.7132866,-82.0372276
capital-auto-glass-llc-nc,Capital Auto Glass LLC,Auto Glass and Windshield,Garner,NC,"850, Adams Point Drive, Garner, NC, 27529",+19195535352,,"https://www.google.com/maps?q=35.591445,-78.578273","auto-glass, windshield",,OSM,node/9812265797,35.591445,-78.5782727
carthage-auto-glass-nc,Carthage Auto Glass,Auto Glass and Windshield,Carthage,NC,"109, McReynolds Street, Carthage, NC, 28327",+19109471877,,"https://www.google.com/maps?q=35.346314,-79.418162","auto-glass, windshield",,OSM,node/10681028935,35.3463144,-79.4181625
howards-auto-glass-nc-llc-nc,Howards Auto Glass NC LLC,Auto Glass and Windshield,Apex,NC,"5448 Apex Peakway Dr, #341, Apex, NC, 27502",+1-919-290-3426,https://www.howardsautoglass.com,"https://www.google.com/maps?q=35.736698,-78.864655","auto-glass, windshield",,OSM,node/9832378002,35.7366984,-78.8646547
mccain-auto-glass-nc,McCain Auto Glass,Auto Glass and Windshield,,NC,"300, Prescott Street, NC",+1-336-272-4057,https://www.mccainautoglass.com/,"https://www.google.com/maps?q=36.075769,-79.799188","auto-glass, windshield",,OSM,node/13610278582,36.0757691,-79.7991883
taylor-auto-glass-nc,Taylor Auto Glass,Auto Glass and Windshield,,NC,"6381, Burnt Poplar Road, NC",+1-336-851-1380,https://taylorautoglass.com/,"https://www.google.com/maps?q=36.074901,-79.936900","auto-glass, windshield",,OSM,node/13608593566,36.074901,-79.9369005
greasy-axle-lube-nc,Greasy Axle & Lube,"Drivetrain Specialists (Axles, Gears, Driveshafts)",Charlotte,NC,"6230, Albemarle Road, Charlotte, NC, 28212",,http://www.greasyaxle.com,"https://www.google.com/maps?q=35.202610,-80.739148","drivetrain, axle, gears",,OSM,way/324592342,35.2026099,-80.7391482
hoyle-s-tire-axle-nc,Hoyle's Tire & Axle,"Drivetrain Specialists (Axles, Gears, Driveshafts)",,NC,"175, Bear Pond Road, NC, 27537",+1-252-438-2818,,"https://www.google.com/maps?q=36.278536,-78.402904","drivetrain, axle, gears",,OSM,node/10269848909,36.2785363,-78.4029044
auto-diagnostic-nc,Auto Diagnostic,Electrical and Diagnostics (Older Vehicle Friendly),Roanoke Rapids,NC,"834, Julian R Allsbrook Highway, Roanoke Rapids, NC, 27870",+12525414200,,"https://www.google.com/maps?q=36.439774,-77.648325","electrical, diagnostics",,OSM,node/13592162702,36.4397735,-77.6483252
taylor-s-small-engines-sales-service-nc,Taylor's Small Engines Sales & Service,Fabrication and Welding (4x4),Rutherfordton,NC,"299, Railroad Avenue, Rutherfordton, NC, 28139",+1-828-229-8494,https://www.taylorssmallengines.com/,"https://www.google.com/maps?q=35.368382,-81.942235","fabrication, welding, 4x4",,OSM,node/5881291404,35.3683817,-81.9422349
advance-auto-parts-nc-10,Advance Auto Parts,Parts Shops and 4x4 Retailers,Carrboro,NC,"305, East Main Street, Carrboro, NC, 27510",+1-919-967-2289,https://www.carquest.com,"https://www.google.com/maps?q=35.910900,-79.068318","parts, retail",,OSM,node/2567480220,35.9108996,-79.0683178
advance-auto-parts-nc-12,Advance Auto Parts,Parts Shops and 4x4 Retailers,Benson,NC,"503, East Main Street, Benson, NC, 27504",+19192070501,https://stores.advanceautoparts.com/nc/benson/503-e-main-st,"https://www.google.com/maps?q=35.379033,-78.542986","parts, retail",,OSM,node/2973560087,35.3790332,-78.5429864
advance-auto-parts-nc-15,Advance Auto Parts,Parts Shops and 4x4 Retailers,Troutman,NC,"105, Talley Street, Troutman, NC, 28166",+17045084198,https://stores.advanceautoparts.com/nc/troutman/105-talley-st,"https://www.google.com/maps?q=35.705054,-80.891807","parts, retail",,OSM,node/4059089842,35.7050537,-80.8918067
advance-auto-parts-nc-16,Advance Auto Parts,Parts Shops and 4x4 Retailers,Lincolnton,NC,"1017, East Main Street, Lincolnton, NC, 28092",+1-704-732-2223,https://stores.advanceautoparts.com/nc/lincolnton/1017-e-main-st,"https://www.google.com/maps?q=35.475849,-81.244121","parts, retail",,OSM,node/5473885915,35.4758487,-81.2441211
advance-auto-parts-nc-17,Advance Auto Parts,Parts Shops and 4x4 Retailers,Pittsboro,NC,"462, East Street, Pittsboro, NC, 27312",+19195422899,https://stores.advanceautoparts.com/nc/pittsboro/462-east-st,"https://www.google.com/maps?q=35.719574,-79.168959","parts, retail",,OSM,node/5785410037,35.7195735,-79.1689589
