business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
akron-auto-glass-oh,Akron Auto Glass,Auto Glass and Windshield,Akron,OH,"1589, Canton Road, Akron, OH, 44312",+1-330-733-4686,https://www.akronautoglass.biz/,"https://www.google.com/maps?q=41.024068,-81.419838","auto-glass, windshield",,OSM,way/936949997,41.0240676,-81.4198377
d-b-auto-glass-oh,D & B Auto Glass,Auto Glass and Windshield,Zanesville,OH,"1423, Maysville Avenue, Zanesville, OH, 43701",+1 740-452-6126,,"https://www.google.com/maps?q=39.917050,-82.012956","auto-glass, windshield",,OSM,way/1088385070,39.9170502,-82.0129561
king-s-auto-glass-oh,King's Auto Glass,Auto Glass and Windshield,Zanesville,OH,"102, South 6th Street, Zanesville, OH, 43701",+1 740-450-4280,https://www.kings-autoglass.com/zanesville-oh-location,"https://www.google.com/maps?q=39.938115,-82.005004","auto-glass, windshield",,OSM,way/1093315197,39.9381147,-82.0050045
r-cars-auto-glass-repair-oh,R Cars Auto Glass & Repair,Auto Glass and Windshield,Lima,OH,"1603, North Sugar Street, Lima, OH, 45801",+1 419-331-2264,,"https://www.google.com/maps?q=40.761406,-84.090133","auto-glass, windshield",,OSM,way/766814482,40.7614064,-84.0901331
alexander-s-diagnostic-oh,Alexander's Diagnostic,Electrical and Diagnostics (Older Vehicle Friendly),Austintown,OH,"4754, Mahoning Avenue, Austintown, OH, 44515",+1-330-207-5562,https://www.alexandersdiagnostic.com/,"https://www.google.com/maps?q=41.101042,-80.743108","electrical, diagnostics",,OSM,node/4615939943,41.101042,-80.743108
brock-s-welding-repair-service-oh,Brock's Welding & Repair Service,Fabrication and Welding (4x4),Zanesville,OH,"3985, East Pike, Zanesville, OH, 43701",+1 740-453-3943,,"https://www.google.com/maps?q=39.959405,-81.922566","fabrication, welding, 4x4",,OSM,way/1092833748,39.9594049,-81.9225656
precision-welding-installation-oh,Precision Welding & Installation,Fabrication and Welding (4x4),Zanesville,OH,"3445, Church Hill Road, Zanesville, OH, 43701",+1 740-995-0613,http://pwiohio.com/,"https://www.google.com/maps?q=39.987446,-81.937393","fabrication, welding, 4x4",,OSM,way/1100555503,39.9874456,-81.9373933
4-h-auto-salvage-oh,4-H Auto Salvage,Parts Shops and 4x4 Retailers,Mansfield,OH,"501, Cairns Road, Mansfield, OH, 44903",+1-419-524-1566,https://4-h-auto-salvage.jany.io/,"https://www.google.com/maps?q=40.805685,-82.531719","parts, retail, salvage",,OSM,way/896014667,40.8056848,-82.5317187
ace-truck-equipment-oh,Ace Truck Equipment,Parts Shops and 4x4 Retailers,Zanesville,OH,"1130, Newark Road, Zanesville, OH, 43701",+1 740-453-0551,http://acetruck.net/,"https://www.google.com/maps?q=39.954866,-82.022921","parts, retail",,OSM,way/1027321062,39.9548657,-82.022921
advance-auto-parts-oh-4,Advance Auto Parts,Parts Shops and 4x4 Retailers,Pataskala,OH,"123, West Broad Street, Pataskala, OH, 43062",+1-740-964-5166,https://stores.advanceautoparts.com/oh/pataskala/123-broad-st-sw,"https://www.google.com/maps?q=40.002031,-82.678520","parts, retail",,OSM,node/2923786822,40.0020309,-82.67852
advance-auto-parts-oh-5,Advance Auto Parts,Parts Shops and 4x4 Retailers,Steubenville,OH,"4412, Sunset Boulevard, Steubenville, OH, 43952",+1-740-346-0790,https://stores.advanceautoparts.com/oh/steubenville/4412-sunset-blvd,"https://www.google.com/maps?q=40.372385,-80.681680","parts, retail",,OSM,node/4334631400,40.3723854,-80.6816796
advance-auto-parts-oh-6,Advance Auto Parts,Parts Shops and 4x4 Retailers,Cincinnati,OH,"4424, W Mitchell Avenue, Cincinnati, OH, 45232",+1-513-681-2198,https://stores.advanceautoparts.com/oh/cincinnati/4424-w-mitchell-ave,"https://www.google.com/maps?q=39.167396,-84.513352","parts, retail",,OSM,node/5323705122,39.1673957,-84.5133517
advance-auto-parts-oh-11,Advance Auto Parts,Parts Shops and 4x4 Retailers,Marietta,OH,"220, Greene Street, Marietta, OH, 45750",+1-740-374-7200,https://stores.advanceautoparts.com/oh/marietta/220-greene-street,"https://www.google.com/maps?q=39.411634,-81.449545","parts, retail",,OSM,node/8400601469,39.4116335,-81.4495451
advance-auto-parts-oh-2,Advance Auto Parts,Parts Shops and 4x4 Retailers,Columbus,OH,"6520, Sawmill Road, Columbus, OH, 43235",+1-614-761-3101,https://stores.advanceautoparts.com/oh/columbus/6520-sawmill-rd,"https://www.google.com/maps?q=40.101324,-83.090267","parts, retail",,OSM,node/11095230129,40.1013236,-83.090267
advance-auto-parts-oh-30,Advance Auto Parts,Parts Shops and 4x4 Retailers,Powell,OH,"8531, Owenfield Drive, Powell, OH, 43065",+17405494979,https://stores.advanceautoparts.com/oh/powell/8531-owenfield-dr,"https://www.google.com/maps?q=40.167648,-83.021180","parts, retail",,OSM,way/42606290,40.1676478,-83.0211795
advance-auto-parts-oh-23,Advance Auto Parts,Parts Shops and 4x4 Retailers,Huber Heights,OH,"6048, Brandt Pike, Huber Heights, OH, 45424",+1-937-235-9180,https://stores.advanceautoparts.com/oh/huber-heights/6048-brandt-pike,"https://www.google.com/maps?q=39.840877,-84.116475","parts, retail",,OSM,way/156426602,39.8408767,-84.1164749
advance-auto-parts-oh-28,Advance Auto Parts,Parts Shops and 4x4 Retailers,Akron,OH,"3200, Manchester Road, Akron, OH, 44319",+1-330-245-0303,https://stores.advanceautoparts.com/oh/coventry-township/3200-manchester-rd,"https://www.google.com/maps?q=41.012082,-81.554795","parts, retail",,OSM,way/271055915,41.0120817,-81.5547949
advance-auto-parts-oh-32,Advance Auto Parts,Parts Shops and 4x4 Retailers,South Zanesville,OH,"38, North Maysville Avenue, South Zanesville, OH, 43701",+1 740-454-8539,https://stores.advanceautoparts.com/oh/zanesville/38-n-maysville-ave,"https://www.google.com/maps?q=39.903832,-82.019391","parts, retail",,OSM,way/556800502,39.9038321,-82.0193905
advance-auto-parts-oh-33,Advance Auto Parts,Parts Shops and 4x4 Retailers,Marion,OH,"1166, Mt Vernon Avenue, Marion, OH, 43302",+1-740-386-2472,https://stores.advanceautoparts.com/oh/marion/1166-mount-vernon-ave,"https://www.google.com/maps?q=40.581470,-83.098110","parts, retail",,OSM,way/558846563,40.58147,-83.0981102
advance-auto-parts-oh-34,Advance Auto Parts,Parts Shops and 4x4 Retailers,Ottawa,OH,"255, Meadow Glen Drive, Ottawa, OH, 45875",+1-419-523-3760,https://stores.advanceautoparts.com/oh/ottawa/255-meadow-glen-dr,"https://www.google.com/maps?q=41.033467,-84.039893","parts, retail",,OSM,way/591026145,41.0334673,-84.0398928
advance-auto-parts-oh-36,Advance Auto Parts,Parts Shops and 4x4 Retailers,Kenton,OH,"940, East Columbus Street, Kenton, OH, 43326",+1-419-673-2122,https://stores.advanceautoparts.com/oh/kenton/940-e-columbus-st,"https://www.google.com/maps?q=40.651020,-83.592693","parts, retail",,OSM,way/616339433,40.6510203,-83.5926933
advance-auto-parts-oh-37,Advance Auto Parts,Parts Shops and 4x4 Retailers,Galion,OH,"170, Portland Way North, Galion, OH, 44833",+1-419-462-8949,https://stores.advanceautoparts.com/oh/galion/170-portland-way-north,"https://www.google.com/maps?q=40.735271,-82.803176","parts, retail",,OSM,way/692786940,40.7352714,-82.8031764
advance-auto-parts-oh-38,Advance Auto Parts,Parts Shops and 4x4 Retailers,Chillicothe,OH,"1038, North Bridge Street, Chillicothe, OH, 45601",+1-740-773-0384,https://stores.advanceautoparts.com/oh/chillicothe/1038-n-bridge-st,"https://www.google.com/maps?q=39.356687,-82.977071","parts, retail",,OSM,way/828988349,39.3566865,-82.977071
advance-auto-parts-oh-40,Advance Auto Parts,Parts Shops and 4x4 Retailers,Mansfield,OH,"177, Lexington Avenue, Mansfield, OH, 44907",+1-419-522-0501,https://stores.advanceautoparts.com/oh/mansfield/177-lexington-ave,"https://www.google.com/maps?q=40.748922,-82.519619","parts, retail",,OSM,way/952099938,40.7489216,-82.5196188
advance-auto-parts-oh-17,Advance Auto Parts,Parts Shops and 4x4 Retailers,Zanesville,OH,"1215, Linden Avenue, Zanesville, OH, 43701",+1 740-454-2564,https://stores.advanceautoparts.com/oh/zanesville/1215-linden-ave,"https://www.google.com/maps?q=39.953565,-82.006290","parts, retail",,OSM,way/1027496198,39.9535652,-82.0062897
advance-auto-parts-oh-20,Advance Auto Parts,Parts Shops and 4x4 Retailers,Waverly,OH,"340, West Emmitt Avenue, Waverly, OH, 45690",+1 740-941-0090,https://stores.advanceautoparts.com/oh/waverly/340-w-emmitt-ave,"https://www.google.com/maps?q=39.123804,-82.991112","parts, retail",,OSM,way/1152552181,39.1238044,-82.9911116
advance-auto-parts-oh-14,Advance Auto Parts,Parts Shops and 4x4 Retailers,,OH,"427, Canton Rd. NW, OH",+1-330-627-9842,https://stores.advanceautoparts.com/oh/carrollton/427-canton-rd-nw,"https://www.google.com/maps?q=40.579590,-81.093224","parts, retail",,OSM,node/8825801523,40.5795898,-81.093224
advance-auto-parts-oh-7,Advance Auto Parts,Parts Shops and 4x4 Retailers,Bellevue,OH,"253, West Main Street, Bellevue, OH, 44811",,https://stores.advanceautoparts.com/oh/bellevue/253-w-main-st,"https://www.google.com/maps?q=41.274287,-82.844449","parts, retail",,OSM,node/5659328121,41.2742872,-82.8444495
advance-auto-parts-oh-8,Advance Auto Parts,Parts Shops and 4x4 Retailers,Gahanna,OH,"71, Stygler Road, Gahanna, OH, 43230",,https://stores.advanceautoparts.com/oh/gahanna/71-n-stygler-rd,"https://www.google.com/maps?q=40.019840,-82.892104","parts, retail",,OSM,node/6032517293,40.0198397,-82.8921043
advance-auto-parts-oh-9,Advance Auto Parts,Parts Shops and 4x4 Retailers,New Philadelphia,OH,"1150, West High Avenue, New Philadelphia, OH, 44633",,https://stores.advanceautoparts.com/oh/new-philadelphia/1150-w-high-ave,"https://www.google.com/maps?q=40.492850,-81.468834","parts, retail",,OSM,node/6853964470,40.4928504,-81.4688337
advance-auto-parts-oh-10,Advance Auto Parts,Parts Shops and 4x4 Retailers,Wadsworth,OH,"799, High Street, Wadsworth, OH, 44281",,https://stores.advanceautoparts.com/oh/wadsworth/799-high-st,"https://www.google.com/maps?q=41.044670,-81.728199","parts, retail",,OSM,node/7519301023,41.0446697,-81.7281992
advance-auto-parts-oh-12,Advance Auto Parts,Parts Shops and 4x4 Retailers,Ashtabula,OH,"1949, East Prospect Road, Ashtabula, OH, 44004",,https://stores.advanceautoparts.com/oh/ashtabula/1949-e-prospect-rd,"https://www.google.com/maps?q=41.875498,-80.770628","parts, retail",,OSM,node/8635977645,41.8754978,-80.7706282
advance-auto-parts-oh-13,Advance Auto Parts,Parts Shops and 4x4 Retailers,Niles,OH,"5828, Youngstown Warren Road, Niles, OH, 44446",,https://stores.advanceautoparts.com/oh/niles/5828-youngstown-warren-rd,"https://www.google.com/maps?q=41.208375,-80.746685","parts, retail",,OSM,node/8825153354,41.2083752,-80.7466848
advance-auto-parts-oh-15,Advance Auto Parts,Parts Shops and 4x4 Retailers,Cleveland,OH,"6000, Brookpark Road, Cleveland, OH, 44136",,https://stores.advanceautoparts.com/oh/cleveland/6000-brookpark-rd,"https://www.google.com/maps?q=41.418978,-81.726029","parts, retail",,OSM,node/8901349561,41.4189779,-81.7260295
advance-auto-parts-oh-16,Advance Auto Parts,Parts Shops and 4x4 Retailers,Vermilion,OH,"4480, Liberty Avenue, Vermilion, OH, 44089",,https://stores.advanceautoparts.com/oh/vermilion/4480-liberty-ave,"https://www.google.com/maps?q=41.425493,-82.343566","parts, retail",,OSM,node/9647283714,41.425493,-82.3435656
advance-auto-parts-oh,Advance Auto Parts,Parts Shops and 4x4 Retailers,Medina,OH,"1205, North Court Street, Medina, OH, 44256",,https://stores.advanceautoparts.com/oh/medina/1205-n-court-st,"https://www.google.com/maps?q=41.159165,-81.863056","parts, retail",,OSM,node/10749016587,41.1591654,-81.8630556
advance-auto-parts-oh-3,Advance Auto Parts,Parts Shops and 4x4 Retailers,South Euclid,OH,"4105, Mayfield Road, South Euclid, OH, 44121",+1-216-691-1390,,"https://www.google.com/maps?q=41.521024,-81.532390","parts, retail",,OSM,node/12015872006,41.521024,-81.5323897
advance-auto-parts-oh-31,Advance Auto Parts,Parts Shops and 4x4 Retailers,Milford,OH,"1228, State Route 28, Milford, OH, 45150",,https://stores.advanceautoparts.com/oh/milford/1228-state-route-28,"https://www.google.com/maps?q=39.201223,-84.224537","parts, retail",,OSM,way/44037151,39.2012228,-84.224537
advance-auto-parts-oh-18,Advance Auto Parts,Parts Shops and 4x4 Retailers,Norwalk,OH,"225, Milan Avenue, Norwalk, OH, 44857",,https://stores.advanceautoparts.com/oh/norwalk/225-milan-ave,"https://www.google.com/maps?q=41.262054,-82.611823","parts, retail",,OSM,way/103625156,41.2620536,-82.611823
advance-auto-parts-oh-22,Advance Auto Parts,Parts Shops and 4x4 Retailers,Harrison,OH,"10920, New Haven Road, Harrison, OH, 45030",+1-513-202-1480,,"https://www.google.com/maps?q=39.258813,-84.800874","parts, retail",,OSM,way/154456088,39.2588132,-84.8008741
advance-auto-parts-oh-24,Advance Auto Parts,Parts Shops and 4x4 Retailers,Maineville,OH,"Montgomery Road, Maineville, OH, 45039",,https://stores.advanceautoparts.com/oh/maineville/106-w-us-highway-22-and-3,"https://www.google.com/maps?q=39.338760,-84.221248","parts, retail",,OSM,way/166675725,39.3387599,-84.2212479
advance-auto-parts-oh-25,Advance Auto Parts,Parts Shops and 4x4 Retailers,Newton Falls,OH,"30, South Milton Boulevard, Newton Falls, OH, 44444",,https://stores.advanceautoparts.com/oh/newton-falls/30-s-milton-blvd,"https://www.google.com/maps?q=41.185825,-80.971398","parts, retail",,OSM,way/169007867,41.1858247,-80.971398
advance-auto-parts-oh-26,Advance Auto Parts,Parts Shops and 4x4 Retailers,Brookville,OH,"610, Arlington Road, Brookville, OH, 45309",,https://stores.advanceautoparts.com/oh/brookville/610-arlington-rd,"https://www.google.com/maps?q=39.841484,-84.424116","parts, retail",,OSM,way/183134945,39.841484,-84.4241157
