business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
auto-glass-now-pa-2,Auto Glass Now,Auto Glass and Windshield,Collegeville,PA,"20, 1st Avenue, Collegeville, PA, 19426",+1 484-854-1573,https://www.autoglassnow.com/our-locations/collegeville-57303/,"https://www.google.com/maps?q=40.185327,-75.448829","auto-glass, windshield",,OSM,way/251114030,40.185327,-75.4488292
auto-glass-now-pa,Auto Glass Now,Auto Glass and Windshield,Castle Shannon,PA,"3625, Library Road, Castle Shannon, PA, 15234",,https://www.autoglassnow.com/our-locations/castle-shannon-57061/,"https://www.google.com/maps?q=40.364817,-80.018420","auto-glass, windshield",,OSM,node/4578438549,40.3648173,-80.0184203
chester-auto-glass-pa,Chester Auto Glass,Auto Glass and Windshield,,PA,PA,+1 412 488 3885,,"https://www.google.com/maps?q=40.430036,-80.024226","auto-glass, windshield",,OSM,node/4637982776,40.4300358,-80.0242263
clear-vision-auto-glass-pa,Clear Vision Auto Glass,Auto Glass and Windshield,Chadds Ford,PA,"142, Wilmington West Chester Pike, Chadds Ford, PA, 19317",,https://clearvisionglass.net/,"https://www.google.com/maps?q=39.846180,-75.537939","auto-glass, windshield",,OSM,node/13118485042,39.8461802,-75.5379388
rydon-auto-glass-pa,Rydon Auto Glass,Auto Glass and Windshield,Philadelphia,PA,"9909, Bustleton Avenue, Philadelphia, PA",+1 215-677-2770,,"https://www.google.com/maps?q=40.097266,-75.029409","auto-glass, windshield",,OSM,way/618324182,40.0972656,-75.0294095
gear-automotive-pa,GEAR Automotive,"Drivetrain Specialists (Axles, Gears, Driveshafts)",Coplay,PA,"4111, Mauch Chunk Road, Coplay, PA, 18037",+16107995561,,"https://www.google.com/maps?q=40.669441,-75.566675","drivetrain, axle, gears",,OSM,way/1311833841,40.6694414,-75.5666752
8-cylinders-auto-repair-philadelphia-pa,8 Cylinders Auto Repair Philadelphia,Electrical and Diagnostics (Older Vehicle Friendly),Philadelphia,PA,"1901, West Courtland Street, Philadelphia, PA, 19140",+1-445-287-2000,https://8cylindersautorepair.com/,"https://www.google.com/maps?q=40.024287,-75.156403","electrical, diagnostics",,OSM,node/13411855935,40.0242874,-75.1564026
keystone-auto-electrical-pa,Keystone Auto Electrical,Electrical and Diagnostics (Older Vehicle Friendly),West Chester,PA,"105, North Chester Road, West Chester, PA, 19380",+1 610-344-7796,https://www.keystoneautoelectrical.com/,"https://www.google.com/maps?q=39.969313,-75.526299","electrical, diagnostics",,OSM,node/7092050570,39.9693134,-75.5262988
mpi-diagnostics-inc-pa,MPI Diagnostics Inc.,Electrical and Diagnostics (Older Vehicle Friendly),Emmaus,PA,"4280, Chestnut Street, Emmaus, PA, 18049",+16109656106,,"https://www.google.com/maps?q=40.514803,-75.524780","electrical, diagnostics",,OSM,way/1311636117,40.5148032,-75.52478
wilson-s-specialties-llc-pa,Wilson's Specialties LLC,Electrical and Diagnostics (Older Vehicle Friendly),Quarryville,PA,"8, Four Pines Road, Quarryville, PA, 17566",+1-717-923-0475,https://wilsonsspecialtiesllc.com,"https://www.google.com/maps?q=39.871530,-76.227735","electrical, diagnostics",,OSM,node/10838950915,39.8715305,-76.2277352
beatty-welding-pa,Beatty Welding,Fabrication and Welding (4x4),,PA,PA,+1 412 364 0691,,"https://www.google.com/maps?q=40.538116,-80.022698","fabrication, welding, 4x4",,OSM,way/373841451,40.5381155,-80.0226984
