business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
vision-auto-glass-sc,Vision Auto Glass,Auto Glass and Windshield,Barnwell,SC,"540, Main Street, Barnwell, SC, 29812",+1 803 571 4921,,"https://www.google.com/maps?q=33.244630,-81.358166","auto-glass, windshield",,OSM,node/7882514920,33.2446295,-81.358166
advance-auto-parts-sc-10,Advance Auto Parts,Parts Shops and 4x4 Retailers,Batesburg-Leesville,SC,"253, West Columbia Avenue, Batesburg-Leesville, SC, 29006",+1 803 532 5001,https://stores.advanceautoparts.com/sc/batesburg/253-w-columbia-ave,"https://www.google.com/maps?q=33.908680,-81.536068","parts, retail",,OSM,node/7798555912,33.9086797,-81.5360675
advance-auto-parts-sc-11,Advance Auto Parts,Parts Shops and 4x4 Retailers,Lexington,SC,"1003, West Main Street, Lexington, SC, 29072",+1 803 359 3699,https://stores.advanceautoparts.com/sc/lexington/1003-w-main-st,"https://www.google.com/maps?q=33.983492,-81.253524","parts, retail",,OSM,node/7893534951,33.9834916,-81.2535236
advance-auto-parts-sc-5,Advance Auto Parts,Parts Shops and 4x4 Retailers,Anderson,SC,"1705, East Greenville Street, Anderson, SC, 29621",+1 864-305-4295,https://stores.advanceautoparts.com/sc/anderson/1705-e-greenville-st,"https://www.google.com/maps?q=34.536423,-82.631335","parts, retail",,OSM,node/12406020615,34.5364232,-82.6313351
advance-auto-parts-sc-14,Advance Auto Parts,Parts Shops and 4x4 Retailers,Clemson,SC,"532, Old Greenville Highway, Clemson, SC, 29631",+1-864-653-4222,https://stores.advanceautoparts.com/sc/clemson/532-old-greenville-hwy,"https://www.google.com/maps?q=34.691150,-82.808463","parts, retail",,OSM,way/27766739,34.6911498,-82.808463
advance-auto-parts-sc-26,Advance Auto Parts,Parts Shops and 4x4 Retailers,Mauldin,SC,"302, North Main Street, Mauldin, SC, 29662",+1-864-297-7431,https://stores.advanceautoparts.com/sc/mauldin/302-n-main-st,"https://www.google.com/maps?q=34.783172,-82.311442","parts, retail",,OSM,way/69092271,34.7831722,-82.311442
advance-auto-parts-sc-12,Advance Auto Parts,Parts Shops and 4x4 Retailers,Rock Hill,SC,"2166, North Cherry Road, Rock Hill, SC, 29732",+1-803-366-8363,https://stores.advanceautoparts.com/sc/rock-hill/2166-cherry-rd,"https://www.google.com/maps?q=34.963955,-80.999413","parts, retail",,OSM,way/121020807,34.9639549,-80.9994133
advance-auto-parts-sc-19,Advance Auto Parts,Parts Shops and 4x4 Retailers,Duncan,SC,"2129, East Main Street, Duncan, SC, 29334",+1-864-433-8271,https://stores.advanceautoparts.com/sc/duncan/2129-e-main-st,"https://www.google.com/maps?q=34.888524,-82.069834","parts, retail",,OSM,way/515935520,34.8885236,-82.0698342
advance-auto-parts-sc-27,Advance Auto Parts,Parts Shops and 4x4 Retailers,Hampton,SC,"1500, Elm Street West, Hampton, SC, 29924",+1-803-943-9468,https://stores.advanceautoparts.com/sc/hampton/1500-elm-st-west,"https://www.google.com/maps?q=32.877792,-81.121144","parts, retail",,OSM,way/927157332,32.8777916,-81.121144
advance-auto-parts-sc-13,Advance Auto Parts,Parts Shops and 4x4 Retailers,Mount Pleasant,SC,"1677, North Highway 17, Mount Pleasant, SC, 29464",+18438568673,https://stores.advanceautoparts.com/sc/mount-pleasant/1677-n-highway-17,"https://www.google.com/maps?q=32.822837,-79.839997","parts, retail",,OSM,way/1419752488,32.8228366,-79.8399969
advance-auto-parts-sc-15,Advance Auto Parts,Parts Shops and 4x4 Retailers,,SC,"1264, South Pleasantburg Drive, SC",+1-864-277-0007,https://stores.advanceautoparts.com/sc/greenville/1264-s-pleasantburg-dr,"https://www.google.com/maps?q=34.806021,-82.374561","parts, retail",,OSM,way/292981286,34.8060205,-82.3745615
advance-auto-parts-sc-8,Advance Auto Parts,Parts Shops and 4x4 Retailers,Irmo,SC,"7537, Saint Andrews Road, Irmo, SC, 29063",,https://stores.advanceautoparts.com/sc/irmo/7537-saint-andrews-rd,"https://www.google.com/maps?q=34.088254,-81.185513","parts, retail",,OSM,node/5331838570,34.0882535,-81.1855128
