business_id,name,category,city,state,address,phone,website,google_maps_link,tags,jeep_note,source,osm_id,lat,lon
a-broken-windshield-ut,A Broken Windshield,Auto Glass and Windshield,Salt Lake City,UT,"400 West, Salt Lake City, UT, 84101",+1 801-597-0438,,"https://www.google.com/maps?q=40.755896,-111.902940","auto-glass, windshield",,OSM,node/2633259838,40.7558964,-111.9029402
auto-glass-now-ut,Auto Glass Now,Auto Glass and Windshield,South Salt Lake,UT,"3817 S, State Street, South Salt Lake, UT, 84115",+1-801-281-1500,https://www.autoglassnow.com/our-locations/salt-lake-city-57010/,"https://www.google.com/maps?q=40.688166,-111.887867","auto-glass, windshield",,OSM,way/1056658569,40.6881656,-111.8878675
low-price-auto-glass-ut,Low Price Auto Glass,Auto Glass and Windshield,South Salt Lake,UT,"585, West 3300 South, South Salt Lake, UT, 84115",,https://www.lowpriceslc.com/,"https://www.google.com/maps?q=40.699515,-111.907572","auto-glass, windshield",,OSM,node/10202586418,40.6995148,-111.9075718
premier-auto-glass-ut,Premier Auto Glass,Auto Glass and Windshield,Bountiful,UT,"874, W 4000 S, Bountiful, UT, 84010",+1 801-839-9389,http://premierautoglassut.net,"https://www.google.com/maps?q=40.846115,-111.904617","auto-glass, windshield",,OSM,node/4616048038,40.8461149,-111.9046165
prime-auto-glass-ut,Prime Auto Glass,Auto Glass and Windshield,Riverton,UT,"1754 W, 12600 South, Riverton, UT, 84065",+1-801-372-9705,https://primeautoglassutah.com/riverton/,"https://www.google.com/maps?q=40.522728,-111.939930","auto-glass, windshield",,OSM,way/462959596,40.522728,-111.9399304
top-gear-auto-service-ut,Top Gear Auto Service,"Drivetrain Specialists (Axles, Gears, Driveshafts)",Orem,UT,"225, State Street, Orem, UT, 84058",+1-385-221-4308,https://topgearautoservice.io/,"https://www.google.com/maps?q=40.292828,-111.692322","drivetrain, axle, gears",,OSM,node/12941664054,40.2928281,-111.6923219
4-wheel-parts-ut,4-Wheel Parts,Parts Shops and 4x4 Retailers,Salt Lake City,UT,"1789 S, Redwood Road, Salt Lake City, UT, 84104",+1-801-954-8826,,"https://www.google.com/maps?q=40.730967,-111.938264","parts, retail",,OSM,way/298890174,40.7309665,-111.9382641
advance-auto-parts-ut-4,Advance Auto Parts,Parts Shops and 4x4 Retailers,Layton,UT,"1436, North Main Street, Layton, UT, 84041",+1 801-336-1198,https://stores.advanceautoparts.com/ut/layton/1436-n-main-st,"https://www.google.com/maps?q=41.081245,-111.989850","parts, retail",,OSM,way/34196718,41.0812452,-111.9898501
advance-auto-parts-ut-2,Advance Auto Parts,Parts Shops and 4x4 Retailers,West Valley City,UT,"1931 W, 3500 South, West Valley City, UT, 84119",+1-801-326-0072,https://stores.advanceautoparts.com/ut/west-valley-city/1931-w-3500-s,"https://www.google.com/maps?q=40.696095,-111.943207","parts, retail",,OSM,way/1058898306,40.6960953,-111.9432068
advance-auto-parts-ut-3,Advance Auto Parts,Parts Shops and 4x4 Retailers,Riverton,UT,"12583 S, 2200 West, Riverton, UT, 84065",+1-801-308-8164,https://stores.advanceautoparts.com/ut/riverton/12583-s-2200-w,"https://www.google.com/maps?q=40.522608,-111.947862","parts, retail",,OSM,way/1090758174,40.5226079,-111.9478615
